"sector_id","sector_nombre","variable_id","actividad_producto_nombre","indicador","unidad_de_medida","fuente","frecuencia_nombre","cobertura_nombre","alcance_tipo","alcance_id","alcance_nombre","indice_tiempo","valor"
1,"Ovinos - Lana y Carne",2,"Carne ovina","Consumo per cápita","kg/per cápita","MAGYP","Anual","Nacional","PAIS","200","Argentina",2007-01-01,1.8474703966598
1,"Ovinos - Lana y Carne",2,"Carne ovina","Consumo per cápita","kg/per cápita","MAGYP","Anual","Nacional","PAIS","200","Argentina",2008-01-01,1.680174720449
1,"Ovinos - Lana y Carne",2,"Carne ovina","Consumo per cápita","kg/per cápita","MAGYP","Anual","Nacional","PAIS","200","Argentina",2009-01-01,1.8561770285969
1,"Ovinos - Lana y Carne",2,"Carne ovina","Consumo per cápita","kg/per cápita","MAGYP","Anual","Nacional","PAIS","200","Argentina",2010-01-01,1.6564200014373
1,"Ovinos - Lana y Carne",2,"Carne ovina","Consumo per cápita","kg/per cápita","MAGYP","Anual","Nacional","PAIS","200","Argentina",2011-01-01,1.4794775427332
1,"Ovinos - Lana y Carne",2,"Carne ovina","Consumo per cápita","kg/per cápita","MAGYP","Anual","Nacional","PAIS","200","Argentina",2012-01-01,1.3609094841838
1,"Ovinos - Lana y Carne",2,"Carne ovina","Consumo per cápita","kg/per cápita","MAGYP","Anual","Nacional","PAIS","200","Argentina",2013-01-01,1.324474632826
1,"Ovinos - Lana y Carne",2,"Carne ovina","Consumo per cápita","kg/per cápita","MAGYP","Anual","Nacional","PAIS","200","Argentina",2014-01-01,1.3595885599155
1,"Ovinos - Lana y Carne",2,"Carne ovina","Consumo per cápita","kg/per cápita","MAGYP","Anual","Nacional","PAIS","200","Argentina",2015-01-01,1.3187935123268
1,"Ovinos - Lana y Carne",2,"Carne ovina","Consumo per cápita","kg/per cápita","MAGYP","Anual","Nacional","PAIS","200","Argentina",2016-01-01,1.1609135477591
1,"Ovinos - Lana y Carne",2,"Carne ovina","Consumo per cápita","kg/per cápita","MAGYP","Anual","Nacional","PAIS","200","Argentina",2017-01-01,1.1234038961207
